Team Name,w--w,W--L,W--D,L--W,L--L,L--D,D--W,D--L,D--D
Arsenal,9,0,0,2,0,1,3,2,2
Aston Villa,11,1,0,0,3,1,1,1,1
Bournemouth,4,1,1,2,7,0,0,1,3
Brentford,7,1,2,1,1,1,2,0,4
Brighton,5,0,0,0,3,0,5,2,4
Chelsea,2,0,1,0,3,1,4,3,5
Crystal Palace,3,0,0,1,2,2,3,3,5
Everton,2,1,0,0,6,0,4,3,3
Fulham,6,0,1,0,6,2,2,0,2
Leeds,2,0,1,1,4,1,2,3,5
Leicester,4,0,2,0,6,0,1,4,2
Liverpool,9,0,0,1,0,4,3,1,1
Man City,12,0,1,2,0,0,3,1,0
Man United,12,0,0,0,1,1,3,0,2
Newcastle,6,0,1,1,2,0,4,0,5
Nottingham,4,2,1,0,2,3,4,1,2
Southampton,2,1,1,0,5,2,0,6,2
Tottenham,5,1,0,1,3,1,6,2,0
West Ham,5,0,0,0,5,2,3,2,2
Wolves,6,0,2,0,3,0,3,4,1
