Refree,HY,AY,Total Y,HR,AR,Total R
A Taylor,60,53,113,2,1,3
P Tierney,57,57,114,2,0,2
M Oliver,52,35,87,0,1,1
R Jones,44,61,105,0,0,0
C Pawson,43,36,79,0,1,1
S Hooper,40,59,99,1,0,1
J Brooks,38,43,81,0,1,1
D Coote,36,41,77,1,2,3
P Bankes,35,56,91,0,0,0
A Madley,34,49,83,3,0,3
S Attwell,32,49,81,1,1,2
M Salisbury,30,35,65,1,1,2
A Marriner,27,19,46,2,0,2
J Gillett,25,20,45,0,1,1
D England,20,36,56,2,0,2
C Kavanagh,13,26,39,0,0,0
T Bramall,12,10,22,0,0,0
T Harrington,10,13,23,0,0,0
G Scott,9,4,13,2,0,2
D Bond,5,11,16,1,0,1
T Robinson,4,5,9,0,0,0
J Smith,3,0,3,0,0,0
D Madley,3,5,8,0,0,0
R Madley,3,3,6,0,1,0
J Bramall,0,2,2,0,0,0
